Idx 131; By LM; LR Iter9 %: 0.30; BT Iter2 %: 0.10; LR Acc: 54.20 | BT Acc: 54.35 | LM Acc: 92.41 | TT Acc: 83.97
Idx 132; By BT; LR Iter9 %: 0.30; BT Iter2 %: 0.11; LR Acc: 54.55 | BT Acc: 54.84 | LM Acc: 92.41 | TT Acc: 84.09
Idx 133; By LM; LR Iter9 %: 0.29; BT Iter2 %: 0.11; LR Acc: 54.14 | BT Acc: 55.32 | LM Acc: 92.50 | TT Acc: 84.21
Idx 134; By BT; LR Iter10 %: 0.29; BT Iter2 %: 0.11; LR Acc: 54.48 | BT Acc: 55.79 | LM Acc: 92.50 | TT Acc: 84.33
Idx 135; By LM; LR Iter10 %: 0.29; BT Iter2 %: 0.11; LR Acc: 54.07 | BT Acc: 55.21 | LM Acc: 92.59 | TT Acc: 84.44
Idx 136; By LM; LR Iter10 %: 0.29; BT Iter2 %: 0.11; LR Acc: 54.41 | BT Acc: 54.64 | LM Acc: 92.68 | TT Acc: 84.56
Idx 137; By BT; LR Iter10 %: 0.28; BT Iter2 %: 0.12; LR Acc: 54.01 | BT Acc: 54.08 | LM Acc: 92.68 | TT Acc: 83.94
Idx 138; By BT; LR Iter10 %: 0.28; BT Iter2 %: 0.12; LR Acc: 54.35 | BT Acc: 54.55 | LM Acc: 92.68 | TT Acc: 84.06
Idx 139; By BT; LR Iter10 %: 0.28; BT Iter2 %: 0.13; LR Acc: 53.96 | BT Acc: 54.00 | LM Acc: 92.68 | TT Acc: 83.45
Idx 140; By BT; LR Iter10 %: 0.28; BT Iter2 %: 0.14; LR Acc: 53.57 | BT Acc: 54.46 | LM Acc: 92.68 | TT Acc: 83.57
Idx 141; By BT; LR Iter10 %: 0.28; BT Iter2 %: 0.14; LR Acc: 53.90 | BT Acc: 54.90 | LM Acc: 92.68 | TT Acc: 83.69
Idx 142; By BT; LR Iter10 %: 0.27; BT Iter2 %: 0.15; LR Acc: 54.23 | BT Acc: 55.34 | LM Acc: 92.68 | TT Acc: 83.80
Idx 143; By LM; LR Iter10 %: 0.27; BT Iter2 %: 0.15; LR Acc: 54.55 | BT Acc: 54.81 | LM Acc: 92.77 | TT Acc: 83.92
Idx 144; By LM; LR Iter10 %: 0.27; BT Iter2 %: 0.15; LR Acc: 54.86 | BT Acc: 54.29 | LM Acc: 92.86 | TT Acc: 84.03
Idx 145; By BT; LR Iter10 %: 0.27; BT Iter2 %: 0.15; LR Acc: 55.17 | BT Acc: 53.77 | LM Acc: 92.86 | TT Acc: 83.45
Idx 146; By LM; LR Iter10 %: 0.27; BT Iter2 %: 0.15; LR Acc: 54.79 | BT Acc: 53.27 | LM Acc: 92.94 | TT Acc: 83.56
Idx 147; By BT; LR Iter10 %: 0.27; BT Iter2 %: 0.16; LR Acc: 54.42 | BT Acc: 53.70 | LM Acc: 92.94 | TT Acc: 83.67
Idx 148; By BT; LR Iter10 %: 0.26; BT Iter2 %: 0.16; LR Acc: 54.73 | BT Acc: 54.13 | LM Acc: 92.94 | TT Acc: 83.78
Idx 149; By BT; LR Iter10 %: 0.26; BT Iter2 %: 0.17; LR Acc: 54.36 | BT Acc: 54.55 | LM Acc: 92.94 | TT Acc: 83.89
Idx 150; By BT; LR Iter10 %: 0.26; BT Iter2 %: 0.17; LR Acc: 54.00 | BT Acc: 54.05 | LM Acc: 92.94 | TT Acc: 83.33
Idx 151; By BT; LR Iter10 %: 0.26; BT Iter2 %: 0.18; LR Acc: 54.30 | BT Acc: 53.57 | LM Acc: 92.94 | TT Acc: 82.78
Idx 152; By LM; LR Iter10 %: 0.26; BT Iter2 %: 0.18; LR Acc: 54.61 | BT Acc: 53.10 | LM Acc: 93.02 | TT Acc: 82.89
Idx 153; By LM; LR Iter10 %: 0.25; BT Iter2 %: 0.18; LR Acc: 54.90 | BT Acc: 53.51 | LM Acc: 93.10 | TT Acc: 83.01
Idx 154; By LM; LR Iter10 %: 0.25; BT Iter2 %: 0.18; LR Acc: 54.55 | BT Acc: 53.91 | LM Acc: 93.18 | TT Acc: 83.12
Idx 155; By LM; LR Iter11 %: 0.25; BT Iter2 %: 0.17; LR Acc: 54.84 | BT Acc: 53.45 | LM Acc: 93.26 | TT Acc: 83.23
Idx 156; By LM; LR Iter11 %: 0.25; BT Iter2 %: 0.17; LR Acc: 54.49 | BT Acc: 53.85 | LM Acc: 93.33 | TT Acc: 83.33
Idx 157; By LR; LR Iter11 %: 0.25; BT Iter2 %: 0.17; LR Acc: 54.78 | BT Acc: 53.85 | LM Acc: 93.33 | TT Acc: 83.44
Idx 158; By LR; LR Iter11 %: 0.26; BT Iter2 %: 0.17; LR Acc: 54.43 | BT Acc: 53.85 | LM Acc: 93.33 | TT Acc: 82.91
Idx 159; By LR; LR Iter11 %: 0.26; BT Iter2 %: 0.17; LR Acc: 54.72 | BT Acc: 53.85 | LM Acc: 93.33 | TT Acc: 83.02
